organisation_id,organisation_nom,organisation_slug,nb_jeux_catalogue,etat
e8f0768a-2723-47f5-abe5-7366e7635407,Musée de la Côte-Nord,musee-de-la-cote-nord,1,active
2ae0ab69-984a-4dfa-8e01-e0e735cd7d39,Musée de la civilisation,musee-de-la-civilisation,3,active
34cb1108-41f8-425c-bf4f-a3c784fd01b0,Musée des beaux-arts de Sherbrooke,musee-des-beaux-arts-de-sherbrooke,1,active
af2876dc-73f5-4745-a855-bd2ab0bfaefd,Musée des métiers d'art du Québec (MUMAQ),mumaq,0,active
5321e700-dc2c-4f55-8981-d7e84caf28f7,Musée d’art de Rouyn-Noranda,musee-d-art-de-rouyn-noranda,1,active
120b6e5d-8fd2-4c39-9f60-5ae5de0ca099,Musée national des beaux-arts du Québec,mnbaq,3,active
ccf6be6f-7bfd-4651-9100-29bf6c2f7e83,Office de la protection du consommateur,office-protection-consommateur,4,active
b85cf4c2-d54f-424b-a93e-99190af4de82,Office des professions du Québec,office-des-professions-du-quebec,1,active
7c0251fd-f17a-4621-8d73-8902096e4b46,Office québécois de la langue française (OQLF),office-quebecois-de-la-langue-francaise,2,active
aaf8ff55-f7b4-4b11-952f-4c6c07ae4be1,Orthophotos - Ville de Rouyn-Noranda,orthophotos-ville-de-rouyn-noranda,2,active
c1b2cc7b-87bf-41ab-9eb1-fe938ff8236c,Orthophotos – Ville de Shawinigan,orthophotos-ville-de-shawinigan,1,active
0000b004-5e60-4585-b5b1-c0942d829fa5,RECYC-QUÉBEC,recyc-quebec,1,active
6a4d3d7f-6bda-4102-8309-e8e9d7f86717,"Rappels, la mémoire du théâtre au Québec ",rappels-la-memoire-du-theatre-au-quebec,1,active
40b33c7e-8a48-45d4-9ec7-60f4e5cbffdd,Registraire des entreprises,registraire-des-entreprises,1,active
f4acf3a1-9956-46ad-be49-9697f76ad849,Regroupement des centres d'artistes autogérés du Québec,rcaaq,1,active
c55789f7-3feb-452d-b8ba-9edfd2651d2d,Regroupement des organismes de bassins versants du Québec (ROBVQ) ,regroupement-des-organismes-de-bassins-versants-du-quebec-robvq,0,active
1af75e93-8841-4472-b86a-0859258c8cce,Retraite Québec,rrq,4,active
6e319006-0258-4df3-84b1-089be7a4333f,Revenu Québec,revenu-quebec,6,active
c5cf0271-99b1-4296-8477-c141b6356afd,Réalisatrices équitables,realisatrices-equitables,1,active
7b87e5d3-eeb6-40fd-8807-b80226420444,Régie de l’énergie,regie-de-l-energie,0,active
1021b38a-91ff-4e42-897a-f160278a3ea7,"Régie des alcools, des courses et des jeux",regie-alcools-courses-jeux,7,active
cebe524d-f2f6-4eff-b5fa-5dd462f5d876,Régie du bâtiment du Québec,regie-du-batiment-du-quebec,2,active
2c8496be-f549-4c92-8be3-867c948435c0,Secrétariat du Conseil du trésor,sct,7,active
c87e366e-7e62-4f24-8450-b409042befc0,SociéTIC,societic,1,active
9c1d20d2-97ba-4063-b8c9-8d11695f997f,Société civile,organismes,0,active
692be258-15be-4356-91aa-4ad6f8128722,Société de Transport de Trois-Rivières,societe-de-transport-de-trois-rivieres,1,active
65309376-fcc2-46ac-8553-6018ad7a7ba1,Société de développement des entreprises culturelles,societe-de-developpement-des-entreprises-culturelles,5,active
d1a4202e-1ae1-4820-be07-0cca45a98e23,Société de l'assurance automobile du Québec (SAAQ),saaq,8,active
b8fafcdf-c66d-44a3-8bde-45cad1368a67,Société de transport de Laval,societe-de-transport-de-laval,1,active
d02e1201-b0d4-4e11-bf0b-2716a3a2be74,Société de transport de Montréal,societe-de-transport-de-montreal,7,active
fd4aa5b0-376b-4204-90e4-b72ca3669fe1,Société de transport de Salaberry-de-Valleyfield  ,societe-de-transport-de-salaberry-de-valleyfield,1,active
71fa4732-c210-448e-b71c-1c6af88438ca,Société de transport de Sherbrooke,societe-de-transport-de-sherbrooke,1,active
7f44c760-26da-4452-bae1-fcc28ff4e738,Société des célébrations du 375e anniversaire de Montréal,celebrations375e-montreal,0,active
d62ed15c-0cd6-49c5-8c76-3170e5de286d,Société des musées du Québec,societe-des-musees-du-quebec,1,active
5181394c-5dae-4960-9909-b60b80016f8a,Société des traversiers du Québec,societe-des-traversiers-du-quebec,1,active
792124be-42d1-4a2f-b445-c0a210125234,Société des établissements de plein air du Québec,sepaq,2,active
836fde8a-a7ee-4f8e-aa74-fbe2434d0713,Société du Grand Théatre,sgt,1,active
c9d52bc0-fa8c-4a08-a7ba-d32aaea73223,Société du Palais des congrès de Montréal,spcmtl,1,active
22dd72b8-3cf7-419e-a8d4-69c35718e56c,Société d’habitation du Québec,shq,0,active
62042643-852c-453d-a8cf-83dacc03c31f,Société québécoise des infrastructures,sqi,1,active
57c21352-6369-48ea-be3c-48ad65fcc4f1,Synapse C,synapse-c,1,active
10a424d3-2b57-4fd0-a92d-69aa9cf189c6,Sûreté du Québec,sq,1,active
a4217dc8-7941-4d1b-92ab-86b5e48f31e0,Télé-Québec,tele-quebec,0,active
3f8c17ac-2f2b-4381-9a2d-cd3817d4248f,Ville de Blainville,ville-de-blainville,0,active
3ba67b09-f3ab-4a2b-8f45-d0e21af94764,Ville de Drummondville,ville-de-drummondville,0,active
23e2ed49-fd2c-4114-858e-00ddc65304cc,Ville de Gatineau,ville-de-gatineau,52,active
4e77c64b-22f6-469e-ad07-cc427db95171,Ville de Laval,ville-de-laval,130,active
856b172f-18c3-4a5b-a2bc-ecdccae651d3,Ville de Longueuil,ville-de-longueuil,31,active
bf2f5268-27e3-41c0-9b30-fd74e80284be,Ville de Lévis,ville-de-levis,14,active
6e1f26e1-da99-4de4-a1db-c851e805a2d3,Ville de Montréal,ville-de-montreal,389,active
06690e08-a712-4ee3-8cff-34ba7ec28aa1,Ville de Québec,ville-de-quebec,37,active
c1ec9cbd-c536-49f1-900e-0e628cc44491,Ville de Repentigny,ville-de-repentigny,39,active
6383c687-38a2-4916-a1b9-ff043a3e8a54,Ville de Rimouski,ville-de-rimouski,26,active
d025a603-f958-4953-b08d-103fffb8efab,Ville de Rouyn-Noranda,ville-de-rouyn-noranda,20,active
2bcdf999-21a9-4679-9355-a96297631b73,Ville de Saguenay,ville-de-saguenay,27,active
f62d2ba9-89e5-4b68-8abb-3510d86a1f35,Ville de Saint-Hyacinthe,ville-de-saint-hyacinthe,27,active
069cf989-9be8-4aa3-b2b3-3522ac832911,Ville de Saint-Jean-sur-Richelieu,ville-de-saint-jean-sur-richelieu,1,active
f8712486-6ad7-41c3-b420-aaa8b16b834f,Ville de Salaberry-de-Valleyfield,ville-de-salaberry-de-valleyfield,0,active
00fde186-c76f-499e-9dfc-ed3c5cec8c71,Ville de Shawinigan,ville-de-shawinigan,31,active
75a1570e-1959-4bbe-b4d0-2b0751493dd3,Ville de Sherbrooke,ville-de-sherbrooke,7,active
40e646ad-789a-4531-9861-9d4ef212554e,Ville de Sherbrooke - Données géomatiques,ville-de-sherbrooke-donnees-geomatiques,30,active
89ffd393-6e8c-4055-a172-790b1839a042,Ville de Trois-Rivières,ville-de-trois-rivieres,38,active
28eb1f60-3f80-4c1c-aef5-0ef61d632e48,Ville de Val-d'Or,ville-de-val-d-or,0,active
36c67ac3-b116-4491-91c1-dd4db926e929,Wikimedica,wikimedica,2,active
65ec9a05-e669-4377-8ab2-a093b5af4688,ZAP Sherbrooke,zap-sherbrooke,2,active
