nature,categorie,arrondissement,statut,date_creation
Information,Assermentation,Non assigné,Sans statut,2022-10-09
Information,Parc - Divers,Non assigné,Sans statut,2022-08-07
Information,Fuite d'eau,Non assigné,Sans statut,2022-10-22
Information,Feux de circulation - Entretien,Non assigné,Sans statut,2022-10-22
Information,Collecte de résidus verts,Non assigné,Sans statut,2022-10-22
Information,Info-Remorquage,Non assigné,Sans statut,2023-05-16
Information,Danger potentiel - Arbre,Non assigné,Sans statut,2023-05-17
Information,Permis - Divers,Non assigné,Sans statut,2022-08-06
Information,"*Z-Borne-fontaine - Installation, retrait ou déplacement",Non assigné,Sans statut,2022-08-14
Information,Bac roulant,Non assigné,Sans statut,2022-06-26
Information,*Réclamation,Non assigné,Sans statut,2022-06-26
Information,Info-travaux - Service central,Non assigné,Sans statut,2022-06-26
Information,Sports et loisirs - Activités,Non assigné,Sans statut,2022-06-26
Information,Collecte de déchets,Non assigné,Sans statut,2022-10-10
Information,Conseil d'arrondissement,Non assigné,Sans statut,2022-10-10
Information,Accès à l'information,Non assigné,Sans statut,2022-10-10
Information,Collecte de déchets,Non assigné,Sans statut,2022-07-04
Information,Collecte des encombrants,Non assigné,Sans statut,2022-07-04
Information,Branche tombée,Non assigné,Sans statut,2022-07-04
Information,Panneau de signalisation entretien prioritaire,Non assigné,Sans statut,2022-10-08
Information,Info-travaux - Arrondissement,Non assigné,Sans statut,2022-10-08
Information,Info-travaux - Service central,Non assigné,Sans statut,2022-10-08
Information,Sports et loisirs - Activités,Non assigné,Sans statut,2022-09-25
Information,Y-Eau - Divers,Non assigné,Sans statut,2023-02-04
Information,Y-Eau - Divers,Non assigné,Sans statut,2023-02-04
Information,Y-Eau - Divers,Non assigné,Sans statut,2023-02-04
Information,Taxes foncières,Non assigné,Sans statut,2023-02-04
Information,Y-Eau - Divers,Non assigné,Sans statut,2023-02-04
Information,Gel Entrée d'eau,Non assigné,Sans statut,2023-02-04
Information,Gel Entrée d'eau,Non assigné,Sans statut,2023-02-04
Information,Taxes foncières,Non assigné,Sans statut,2023-02-04
Information,Gel Entrée d'eau,Non assigné,Sans statut,2023-02-04
Information,Fuite d'eau,Non assigné,Sans statut,2023-02-04
Information,Gel Entrée d'eau,Non assigné,Sans statut,2023-02-04
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2023-02-15
Information,Info-Remorquage,Non assigné,Sans statut,2025-04-27
Information,Cour municipale,Non assigné,Sans statut,2022-10-09
Information,Collecte des encombrants,Non assigné,Sans statut,2022-08-14
Information,Permis - Divers,Non assigné,Sans statut,2022-11-14
Information,Collecte de déchets,Non assigné,Sans statut,2022-11-14
Information,Collecte des encombrants,Non assigné,Sans statut,2022-11-14
Information,Permis - Neige - Domaine public,Non assigné,Sans statut,2022-11-14
Information,Dépôt Illégal - Neige,Non assigné,Sans statut,2022-11-14
Information,Rénovation de bâtiment à valeur patrimoniale,Non assigné,Sans statut,2022-11-14
Information,Collecte de résidus verts,Non assigné,Sans statut,2022-11-14
Information,Collecte de déchets,Non assigné,Sans statut,2022-11-14
Information,Permis de construction - rénovation,Non assigné,Sans statut,2022-11-14
Information,Contrôle animalier,Non assigné,Sans statut,2022-11-14
Information,Éclairage existant - Entretien,Non assigné,Sans statut,2023-06-02
Information,Info-Remorquage,Non assigné,Sans statut,2023-06-02
Information,Fuite d'eau,Non assigné,Sans statut,2023-06-03
Information,Collecte des encombrants,Non assigné,Sans statut,2022-05-01
Information,Abri temporaire,Non assigné,Sans statut,2022-05-01
Information,Collecte de résidus verts,Non assigné,Sans statut,2022-05-01
Information,Collecte de déchets,Non assigné,Sans statut,2023-09-27
Information,Intervention stationnement,Non assigné,Sans statut,2023-11-14
Information,Info-travaux - Service central,Non assigné,Sans statut,2023-11-14
Information,Occupation du domaine public,Non assigné,Sans statut,2024-08-05
Information,Collecte de déchets,Non assigné,Sans statut,2022-06-09
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-11-27
Information,Écocentre,Non assigné,Sans statut,2022-11-27
Information,Info-Remorquage,Non assigné,Sans statut,2023-01-27
Information,Surveillance et sécurité publique,Non assigné,Sans statut,2023-07-31
Information,Feux de circulation - Entretien,Non assigné,Sans statut,2023-07-31
Information,Surveillance et sécurité publique,Non assigné,Sans statut,2023-07-31
Information,Info-Remorquage,Non assigné,Sans statut,2024-09-10
Information,Puisard/TH-Clé ou objet,Non assigné,Sans statut,2024-09-10
Information,Collecte des encombrants,Non assigné,Sans statut,2024-09-10
Information,IRP - Villes non reliées au GDC,Non assigné,Sans statut,2022-08-01
Information,IRP - Utilité publique,Non assigné,Sans statut,2022-08-01
Information,Collecte des encombrants,Non assigné,Sans statut,2022-08-02
Information,Taxes foncières,Non assigné,Sans statut,2022-08-02
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-08-02
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-10-08
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-10-08
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-08-06
Information,Sports et loisirs - Activités,Non assigné,Sans statut,2022-08-06
Information,Entrée d'eau en plomb-Autre demande,Non assigné,Sans statut,2022-08-06
Information,IRP - Poste d'essence,Non assigné,Sans statut,2022-06-04
Information,Gouvernement du Québec,Non assigné,Sans statut,2022-06-27
Information,Danger potentiel - Arbre,Non assigné,Sans statut,2024-02-13
Information,Y-Eau - Divers,Non assigné,Sans statut,2022-06-12
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-06-22
Information,Collecte des encombrants,Non assigné,Sans statut,2022-06-12
Information,Info-travaux - Arrondissement,Non assigné,Sans statut,2022-06-12
Information,Écocentre,Non assigné,Sans statut,2022-06-12
Information,Info-Remorquage,Non assigné,Sans statut,2023-01-27
Information,Info-Remorquage,Non assigné,Sans statut,2023-01-27
Information,SRRR,Non assigné,Sans statut,2022-11-27
Information,Débris sur la voie publique,Non assigné,Sans statut,2022-11-27
Information,Collecte de déchets,Non assigné,Sans statut,2022-11-27
Information,*Réclamation,Non assigné,Sans statut,2022-09-17
Information,Sports et loisirs - Activités,Non assigné,Sans statut,2022-09-17
Information,Intervention stationnement,Non assigné,Sans statut,2023-02-14
Information,Collecte des encombrants,Non assigné,Sans statut,2023-02-14
Information,*Z-Puisard,Non assigné,Sans statut,2023-02-15
Information,Info-Remorquage,Non assigné,Sans statut,2023-02-15
Information,IRP - Villes non reliées au GDC,Non assigné,Sans statut,2022-08-01
Information,IRP - Police,Non assigné,Sans statut,2022-08-01
Information,Recettes diverses,Non assigné,Sans statut,2023-03-08
Information,Écocentre,Non assigné,Sans statut,2022-07-09
Information,Collecte des encombrants,Non assigné,Sans statut,2025-07-07
Information,Collecte de déchets,Non assigné,Sans statut,2022-07-23
Information,Cour municipale,Non assigné,Sans statut,2024-01-22
Information,Collecte des matières recyclables,Non assigné,Sans statut,2024-01-22
Information,Info-Remorquage,Non assigné,Sans statut,2024-01-22
Information,Taxes foncières,Non assigné,Sans statut,2023-03-08
Information,Taxes foncières,Non assigné,Sans statut,2023-03-08
Information,Organisme divers,Non assigné,Sans statut,2023-03-08
Information,Organisme divers,Non assigné,Sans statut,2023-03-08
Information,Taxes foncières,Non assigné,Sans statut,2023-03-08
Information,Stationnement municipal,Non assigné,Sans statut,2024-08-12
Information,Collecte des encombrants,Non assigné,Sans statut,2022-07-14
Information,Info-Remorquage,Non assigné,Sans statut,2022-12-12
Information,Bureau d'arrondissement - Service à la clientèle,Non assigné,Sans statut,2024-02-12
Information,Collecte des encombrants,Non assigné,Sans statut,2024-06-17
Information,Collecte des encombrants,Non assigné,Sans statut,2023-07-18
Information,Collecte de déchets,Non assigné,Sans statut,2022-07-19
Information,Taxes foncières,Non assigné,Sans statut,2022-07-19
Information,Sports et loisirs - Activités,Non assigné,Sans statut,2022-01-08
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-01-08
